AP,Sapric peat,http://registry.it.csiro.au/def/soils/texture/,Sapric-peat,sapric-peat,http://registry.it.csiro.au/def/soils/texture/sapric-peat,',@en,'Sapric peat'@en
CFS,Clayey fine sand,http://registry.it.csiro.au/def/soils/texture/,Clayey-fine-sand,clayey-fine-sand,http://registry.it.csiro.au/def/soils/texture/clayey-fine-sand,',@en,'Clayey fine sand'@en
CKS,Clayey coarse sand,http://registry.it.csiro.au/def/soils/texture/,Clayey-coarse-sand,clayey-coarse-sand,http://registry.it.csiro.au/def/soils/texture/clayey-coarse-sand,',@en,'Clayey coarse sand'@en
CL,Clay loam,http://registry.it.csiro.au/def/soils/texture/,Clay-loam,clay-loam,http://registry.it.csiro.au/def/soils/texture/clay-loam,',@en,'Clay loam'@en
CLFS,Clay loam fine sandy,http://registry.it.csiro.au/def/soils/texture/,Clay-loam-fine-sandy,clay-loam-fine-sandy,http://registry.it.csiro.au/def/soils/texture/clay-loam-fine-sandy,',@en,'Clay loam fine sandy'@en
CLKS,Clay loam coarse sandy,http://registry.it.csiro.au/def/soils/texture/,Clay-loam-coarse-sandy,clay-loam-coarse-sandy,http://registry.it.csiro.au/def/soils/texture/clay-loam-coarse-sandy,',@en,'Clay loam coarse sandy'@en
CLMS,Clay loam medium sandy,http://registry.it.csiro.au/def/soils/texture/,Clay-loam-medium-sandy,clay-loam-medium-sandy,http://registry.it.csiro.au/def/soils/texture/clay-loam-medium-sandy,',@en,'Clay loam medium sandy'@en
CLS,Clay loam sandy,http://registry.it.csiro.au/def/soils/texture/,Clay-loam-sandy,clay-loam-sandy,http://registry.it.csiro.au/def/soils/texture/clay-loam-sandy,',@en,'Clay loam sandy'@en
CMS,Clayey medium sand,http://registry.it.csiro.au/def/soils/texture/,Clayey-medium-sand,clayey-medium-sand,http://registry.it.csiro.au/def/soils/texture/clayey-medium-sand,',@en,'Clayey medium sand'@en
CP,Clayey peat,http://registry.it.csiro.au/def/soils/texture/,Clayey-peat,clayey-peat,http://registry.it.csiro.au/def/soils/texture/clayey-peat,',@en,'Clayey peat'@en
CS,Clayey sand,http://registry.it.csiro.au/def/soils/texture/,Clayey-sand,clayey-sand,http://registry.it.csiro.au/def/soils/texture/clayey-sand,',@en,'Clayey sand'@en
FS,Fine sand,http://registry.it.csiro.au/def/soils/texture/,Fine-sand,fine-sand,http://registry.it.csiro.au/def/soils/texture/fine-sand,',@en,'Fine sand'@en
FSC,Fine sandy clay,http://registry.it.csiro.au/def/soils/texture/,Fine-sandy-clay,fine-sandy-clay,http://registry.it.csiro.au/def/soils/texture/fine-sandy-clay,',@en,'Fine sandy clay'@en
FSCL,Fine sandy clay loam,http://registry.it.csiro.au/def/soils/texture/,Fine-sandy-clay-loam,fine-sandy-clay-loam,http://registry.it.csiro.au/def/soils/texture/fine-sandy-clay-loam,',@en,'Fine sandy clay loam'@en
FSHC,Fine sandy heavy clay,http://registry.it.csiro.au/def/soils/texture/,Fine-sandy-heavy-clay,fine-sandy-heavy-clay,http://registry.it.csiro.au/def/soils/texture/fine-sandy-heavy-clay,',@en,'Fine sandy heavy clay'@en
FSL,Fine sandy loam,http://registry.it.csiro.au/def/soils/texture/,Fine-sandy-loam,fine-sandy-loam,http://registry.it.csiro.au/def/soils/texture/fine-sandy-loam,',@en,'Fine sandy loam'@en
FSLC,Fine sandy light clay,http://registry.it.csiro.au/def/soils/texture/,Fine-sandy-light-clay,fine-sandy-light-clay,http://registry.it.csiro.au/def/soils/texture/fine-sandy-light-clay,',@en,'Fine sandy light clay'@en
FSLMC,Fine sandy light medium clay,http://registry.it.csiro.au/def/soils/texture/,Fine-sandy-light-medium-clay,fine-sandy-light-medium-clay,http://registry.it.csiro.au/def/soils/texture/fine-sandy-light-medium-clay,',@en,'Fine sandy light medium clay'@en
FSMC,Fine sandy medium clay,http://registry.it.csiro.au/def/soils/texture/,Fine-sandy-medium-clay,fine-sandy-medium-clay,http://registry.it.csiro.au/def/soils/texture/fine-sandy-medium-clay,',@en,'Fine sandy medium clay'@en
FSMHC,Fine sandy medium heavy clay,http://registry.it.csiro.au/def/soils/texture/,Fine-sandy-medium-heavy-clay,fine-sandy-medium-heavy-clay,http://registry.it.csiro.au/def/soils/texture/fine-sandy-medium-heavy-clay,',@en,'Fine sandy medium heavy clay'@en
FSS,Fine pure sand,http://registry.it.csiro.au/def/soils/texture/,Fine-pure-sand,fine-pure-sand,http://registry.it.csiro.au/def/soils/texture/fine-pure-sand,',@en,'Fine pure sand'@en
GP,Granular peat,http://registry.it.csiro.au/def/soils/texture/,Granular-peat,granular-peat,http://registry.it.csiro.au/def/soils/texture/granular-peat,',@en,'Granular peat'@en
GR,Gravel,http://registry.it.csiro.au/def/soils/texture/,Gravel,gravel,http://registry.it.csiro.au/def/soils/texture/gravel,',@en,'Gravel'@en
HC,Heavy clay,http://registry.it.csiro.au/def/soils/texture/,Heavy-clay,heavy-clay,http://registry.it.csiro.au/def/soils/texture/heavy-clay,',@en,'Heavy clay'@en
HP,Hemic peat,http://registry.it.csiro.au/def/soils/texture/,Hemic-peat,hemic-peat,http://registry.it.csiro.au/def/soils/texture/hemic-peat,',@en,'Hemic peat'@en
IP,Fibric peat,http://registry.it.csiro.au/def/soils/texture/,Fibric-peat,fibric-peat,http://registry.it.csiro.au/def/soils/texture/fibric-peat,',@en,'Fibric peat'@en
KS,Coarse sand,http://registry.it.csiro.au/def/soils/texture/,Coarse-sand,coarse-sand,http://registry.it.csiro.au/def/soils/texture/coarse-sand,',@en,'Coarse sand'@en
KSC,Coarse sandy clay,http://registry.it.csiro.au/def/soils/texture/,Coarse-sandy-clay,coarse-sandy-clay,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-clay,',@en,'Coarse sandy clay'@en
KSCL,Coarse sandy clay loam,http://registry.it.csiro.au/def/soils/texture/,Coarse-sandy-clay-loam,coarse-sandy-clay-loam,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-clay-loam,',@en,'Coarse sandy clay loam'@en
KSHC,Coarse sandy heavy clay,http://registry.it.csiro.au/def/soils/texture/,Coarse-sandy-heavy-clay,coarse-sandy-heavy-clay,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-heavy-clay,',@en,'Coarse sandy heavy clay'@en
KSL,Coarse sandy loam,http://registry.it.csiro.au/def/soils/texture/,Coarse-sandy-loam,coarse-sandy-loam,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-loam,',@en,'Coarse sandy loam'@en
KSLC,Coarse sandy light clay,http://registry.it.csiro.au/def/soils/texture/,Coarse-sandy-light-clay,coarse-sandy-light-clay,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-light-clay,',@en,'Coarse sandy light clay'@en
KSLMC,Coarse sandy light medium clay,http://registry.it.csiro.au/def/soils/texture/,Coarse-sandy-light-medium-clay,coarse-sandy-light-medium-clay,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-light-medium-clay,',@en,'Coarse sandy light medium clay'@en
KSMC,Coarse sandy medium clay,http://registry.it.csiro.au/def/soils/texture/,Coarse-sandy-medium-clay,coarse-sandy-medium-clay,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-medium-clay,',@en,'Coarse sandy medium clay'@en
KSMHC,Coarse sandy medium heavy clay,http://registry.it.csiro.au/def/soils/texture/,Coarse-sandy-medium-heavy-clay,coarse-sandy-medium-heavy-clay,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-medium-heavy-clay,',@en,'Coarse sandy medium heavy clay'@en
KSS,Coarse pure sand,http://registry.it.csiro.au/def/soils/texture/,Coarse-pure-sand,coarse-pure-sand,http://registry.it.csiro.au/def/soils/texture/coarse-pure-sand,',@en,'Coarse pure sand'@en
L,Loam,http://registry.it.csiro.au/def/soils/texture/,Loam,loam,http://registry.it.csiro.au/def/soils/texture/loam,',@en,'Loam'@en
LC,Light clay,http://registry.it.csiro.au/def/soils/texture/,Light-clay,light-clay,http://registry.it.csiro.au/def/soils/texture/light-clay,',@en,'Light clay'@en
LFS,Loamy fine sand,http://registry.it.csiro.au/def/soils/texture/,Loamy-fine-sand,loamy-fine-sand,http://registry.it.csiro.au/def/soils/texture/loamy-fine-sand,',@en,'Loamy fine sand'@en
LKS,Loamy coarse sand,http://registry.it.csiro.au/def/soils/texture/,Loamy-coarse-sand,loamy-coarse-sand,http://registry.it.csiro.au/def/soils/texture/loamy-coarse-sand,',@en,'Loamy coarse sand'@en
LMC,Light medium clay,http://registry.it.csiro.au/def/soils/texture/,Light-medium-clay,light-medium-clay,http://registry.it.csiro.au/def/soils/texture/light-medium-clay,',@en,'Light medium clay'@en
LMS,Loamy medium sand,http://registry.it.csiro.au/def/soils/texture/,Loamy-medium-sand,loamy-medium-sand,http://registry.it.csiro.au/def/soils/texture/loamy-medium-sand,',@en,'Loamy medium sand'@en
LP,Loamy peat,http://registry.it.csiro.au/def/soils/texture/,Loamy-peat,loamy-peat,http://registry.it.csiro.au/def/soils/texture/loamy-peat,',@en,'Loamy peat'@en
LS,Loamy sand,http://registry.it.csiro.au/def/soils/texture/,Loamy-sand,loamy-sand,http://registry.it.csiro.au/def/soils/texture/loamy-sand,',@en,'Loamy sand'@en
MC,Medium clay,http://registry.it.csiro.au/def/soils/texture/,Medium-clay,medium-clay,http://registry.it.csiro.au/def/soils/texture/medium-clay,',@en,'Medium clay'@en
MHC,Medium heavy clay,http://registry.it.csiro.au/def/soils/texture/,Medium-heavy-clay,medium-heavy-clay,http://registry.it.csiro.au/def/soils/texture/medium-heavy-clay,',@en,'Medium heavy clay'@en
MS,Medium sand,http://registry.it.csiro.au/def/soils/texture/,Medium-sand,medium-sand,http://registry.it.csiro.au/def/soils/texture/medium-sand,',@en,'Medium sand'@en
MSC,Medium sandy clay,http://registry.it.csiro.au/def/soils/texture/,Medium-sandy-clay,medium-sandy-clay,http://registry.it.csiro.au/def/soils/texture/medium-sandy-clay,',@en,'Medium sandy clay'@en
MSCL,Medium sandy clay loam,http://registry.it.csiro.au/def/soils/texture/,Medium-sandy-clay-loam,medium-sandy-clay-loam,http://registry.it.csiro.au/def/soils/texture/medium-sandy-clay-loam,',@en,'Medium sandy clay loam'@en
MSHC,Medium sandy heavy clay,http://registry.it.csiro.au/def/soils/texture/,Medium-sandy-heavy-clay,medium-sandy-heavy-clay,http://registry.it.csiro.au/def/soils/texture/medium-sandy-heavy-clay,',@en,'Medium sandy heavy clay'@en
MSL,Medium sandy loam,http://registry.it.csiro.au/def/soils/texture/,Medium-sandy-loam,medium-sandy-loam,http://registry.it.csiro.au/def/soils/texture/medium-sandy-loam,',@en,'Medium sandy loam'@en
MSLC,Medium sandy light clay,http://registry.it.csiro.au/def/soils/texture/,Medium-sandy-light-clay,medium-sandy-light-clay,http://registry.it.csiro.au/def/soils/texture/medium-sandy-light-clay,',@en,'Medium sandy light clay'@en
MSLMC,Medium sandy light medium clay,http://registry.it.csiro.au/def/soils/texture/,Medium-sandy-light-medium-clay,medium-sandy-light-medium-clay,http://registry.it.csiro.au/def/soils/texture/medium-sandy-light-medium-clay,',@en,'Medium sandy light medium clay'@en
MSMC,Medium sandy medium clay,http://registry.it.csiro.au/def/soils/texture/,Medium-sandy-medium-clay,medium-sandy-medium-clay,http://registry.it.csiro.au/def/soils/texture/medium-sandy-medium-clay,',@en,'Medium sandy medium clay'@en
MSMHC,Medium sandy medium heavy clay,http://registry.it.csiro.au/def/soils/texture/,Medium-sandy-medium-heavy-clay,medium-sandy-medium-heavy-clay,http://registry.it.csiro.au/def/soils/texture/medium-sandy-medium-heavy-clay,',@en,'Medium sandy medium heavy clay'@en
MSS,Medium pure sand,http://registry.it.csiro.au/def/soils/texture/,Medium-pure-sand,medium-pure-sand,http://registry.it.csiro.au/def/soils/texture/medium-pure-sand,',@en,'Medium pure sand'@en
S,Sand,http://registry.it.csiro.au/def/soils/texture/,Sand,sand,http://registry.it.csiro.au/def/soils/texture/sand,',@en,'Sand'@en
SC,Sandy clay,http://registry.it.csiro.au/def/soils/texture/,Sandy-clay,sandy-clay,http://registry.it.csiro.au/def/soils/texture/sandy-clay,',@en,'Sandy clay'@en
SCL,Sandy clay loam,http://registry.it.csiro.au/def/soils/texture/,Sandy-clay-loam,sandy-clay-loam,http://registry.it.csiro.au/def/soils/texture/sandy-clay-loam,',@en,'Sandy clay loam'@en
SCLFS,"Sandy clay loam, fine sand",http://registry.it.csiro.au/def/soils/texture/,"Sandy-clay-loam,-fine-sand","sandy-clay-loam,-fine-sand","http://registry.it.csiro.au/def/soils/texture/sandy-clay-loam,-fine-sand",',@en,"'Sandy clay loam, fine sand'@en"
SHC,Sandy heavy clay,http://registry.it.csiro.au/def/soils/texture/,Sandy-heavy-clay,sandy-heavy-clay,http://registry.it.csiro.au/def/soils/texture/sandy-heavy-clay,',@en,'Sandy heavy clay'@en
SL,Sandy loam,http://registry.it.csiro.au/def/soils/texture/,Sandy-loam,sandy-loam,http://registry.it.csiro.au/def/soils/texture/sandy-loam,',@en,'Sandy loam'@en
SLC,Sandy light clay,http://registry.it.csiro.au/def/soils/texture/,Sandy-light-clay,sandy-light-clay,http://registry.it.csiro.au/def/soils/texture/sandy-light-clay,',@en,'Sandy light clay'@en
SLMC,Sandy light medium clay,http://registry.it.csiro.au/def/soils/texture/,Sandy-light-medium-clay,sandy-light-medium-clay,http://registry.it.csiro.au/def/soils/texture/sandy-light-medium-clay,',@en,'Sandy light medium clay'@en
SMC,Sandy medium clay,http://registry.it.csiro.au/def/soils/texture/,Sandy-medium-clay,sandy-medium-clay,http://registry.it.csiro.au/def/soils/texture/sandy-medium-clay,',@en,'Sandy medium clay'@en
SMHC,Sandy medium heavy clay,http://registry.it.csiro.au/def/soils/texture/,Sandy-medium-heavy-clay,sandy-medium-heavy-clay,http://registry.it.csiro.au/def/soils/texture/sandy-medium-heavy-clay,',@en,'Sandy medium heavy clay'@en
SP,Sandy peat,http://registry.it.csiro.au/def/soils/texture/,Sandy-peat,sandy-peat,http://registry.it.csiro.au/def/soils/texture/sandy-peat,',@en,'Sandy peat'@en
SS,Pure sand,http://registry.it.csiro.au/def/soils/texture/,Pure-sand,pure-sand,http://registry.it.csiro.au/def/soils/texture/pure-sand,',@en,'Pure sand'@en
ST,Stones,http://registry.it.csiro.au/def/soils/texture/,Stones,stones,http://registry.it.csiro.au/def/soils/texture/stones,',@en,'Stones'@en
VWCFS,Very weak clayey fine sand,http://registry.it.csiro.au/def/soils/texture/,Very-weak-clayey-fine-sand,very-weak-clayey-fine-sand,http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-fine-sand,',@en,'Very weak clayey fine sand'@en
VWCKS,Very weak clayey coarse sand,http://registry.it.csiro.au/def/soils/texture/,Very-weak-clayey-coarse-sand,very-weak-clayey-coarse-sand,http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-coarse-sand,',@en,'Very weak clayey coarse sand'@en
VWCMS,Very weak clayey medium sand,http://registry.it.csiro.au/def/soils/texture/,Very-weak-clayey-medium-sand,very-weak-clayey-medium-sand,http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-medium-sand,',@en,'Very weak clayey medium sand'@en
VWCS,Very weak clayey sand,http://registry.it.csiro.au/def/soils/texture/,Very-weak-clayey-sand,very-weak-clayey-sand,http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-sand,',@en,'Very weak clayey sand'@en
WCFS,Weak clayey fine sand,http://registry.it.csiro.au/def/soils/texture/,Weak-clayey-fine-sand,weak-clayey-fine-sand,http://registry.it.csiro.au/def/soils/texture/weak-clayey-fine-sand,',@en,'Weak clayey fine sand'@en
WCKS,Weak clayey coarse sand,http://registry.it.csiro.au/def/soils/texture/,Weak-clayey-coarse-sand,weak-clayey-coarse-sand,http://registry.it.csiro.au/def/soils/texture/weak-clayey-coarse-sand,',@en,'Weak clayey coarse sand'@en
WCMS,Weak clayey medium sand,http://registry.it.csiro.au/def/soils/texture/,Weak-clayey-medium-sand,weak-clayey-medium-sand,http://registry.it.csiro.au/def/soils/texture/weak-clayey-medium-sand,',@en,'Weak clayey medium sand'@en
WCS,Weak clayey sand,http://registry.it.csiro.au/def/soils/texture/,Weak-clayey-sand,weak-clayey-sand,http://registry.it.csiro.au/def/soils/texture/weak-clayey-sand,',@en,'Weak clayey sand'@en
ZC,Silty clay,http://registry.it.csiro.au/def/soils/texture/,Silty-clay,silty-clay,http://registry.it.csiro.au/def/soils/texture/silty-clay,',@en,'Silty clay'@en
ZCL,Silty clay loam,http://registry.it.csiro.au/def/soils/texture/,Silty-clay-loam,silty-clay-loam,http://registry.it.csiro.au/def/soils/texture/silty-clay-loam,',@en,'Silty clay loam'@en
ZHC,Silty heavy clay,http://registry.it.csiro.au/def/soils/texture/,Silty-heavy-clay,silty-heavy-clay,http://registry.it.csiro.au/def/soils/texture/silty-heavy-clay,',@en,'Silty heavy clay'@en
ZL,Silty loam,http://registry.it.csiro.au/def/soils/texture/,Silty-loam,silty-loam,http://registry.it.csiro.au/def/soils/texture/silty-loam,',@en,'Silty loam'@en
ZLC,Silty light clay,http://registry.it.csiro.au/def/soils/texture/,Silty-light-clay,silty-light-clay,http://registry.it.csiro.au/def/soils/texture/silty-light-clay,',@en,'Silty light clay'@en
ZLMC,Silty light medium clay,http://registry.it.csiro.au/def/soils/texture/,Silty-light-medium-clay,silty-light-medium-clay,http://registry.it.csiro.au/def/soils/texture/silty-light-medium-clay,',@en,'Silty light medium clay'@en
ZMC,Silty medium clay,http://registry.it.csiro.au/def/soils/texture/,Silty-medium-clay,silty-medium-clay,http://registry.it.csiro.au/def/soils/texture/silty-medium-clay,',@en,'Silty medium clay'@en
ZMHC,Silty medium heavy clay,http://registry.it.csiro.au/def/soils/texture/,Silty-medium-heavy-clay,silty-medium-heavy-clay,http://registry.it.csiro.au/def/soils/texture/silty-medium-heavy-clay,',@en,'Silty medium heavy clay'@en
